"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00359,2.47e-05,3.31e-05,0.00493,0,0.000553
"2","Jan",0.000931,0,2.23e-06,0.00536,0,0.000524
"3","Feb",0.00114,0,2.97e-06,0.00471,0,0.000459
"4","Mar",0.00188,0,6.54e-06,0.00681,0,0.000766
"5","Apr",0.00308,0.00087,1.5e-05,0.00436,0,0.000458
"6","May",0.00492,0.00228,3.47e-05,0.00422,0,0.00033
"7","Jun",0.00733,0.00398,6.82e-05,0.0052,0,0.00075
"8","Jul",0.00792,0.00379,8.15e-05,0.0062,0,0.000823
"9","Aug",0.00645,0.0022,5.78e-05,0.00421,0,0.000516
"10","Sep",0.00457,0.000342,3.52e-05,0.00586,0,0.000663
"11","Oct",0.00243,0,1.12e-05,0.0037,0,0.000438
"12","Nov",0.00141,0,4.89e-06,0.00405,0,0.000477
"13","Dec",0.000869,0,2e-06,0.00443,0,0.000425
