"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.003,1.39e-05,2.27e-05,0.00484,0,0.000456
"2","Jan",0.000786,0,1.65e-06,0.00537,0,0.000552
"3","Feb",0.000942,0,2.09e-06,0.0038,0,0.000321
"4","Mar",0.00159,2.15e-05,4.75e-06,0.00596,0,0.000455
"5","Apr",0.0026,0.00075,1.08e-05,0.00406,0,0.00033
"6","May",0.00418,0.00194,2.47e-05,0.00484,0,0.00036
"7","Jun",0.00623,0.00336,4.85e-05,0.00599,0,0.000653
"8","Jul",0.00628,0.00308,4.95e-05,0.00593,0,0.000505
"9","Aug",0.00555,0.00184,4.2e-05,0.00459,0,0.000461
"10","Sep",0.00376,0.000218,2.36e-05,0.00613,0,0.000754
"11","Oct",0.00206,0,8.22e-06,0.00265,0,0.000253
"12","Nov",0.00118,0,3.59e-06,0.00487,0,0.000534
"13","Dec",0.00072,0,1.4e-06,0.00387,0,0.000281
