"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00343,2.1e-05,3.04e-05,0.0051,0,0.000656
"2","Jan",0.000845,0,1.89e-06,0.00529,0,0.000515
"3","Feb",0.00104,0,2.52e-06,0.0039,0,0.000378
"4","Mar",0.00177,0,5.97e-06,0.00622,0,0.000602
"5","Apr",0.00292,0.000833,1.35e-05,0.00435,0,0.000396
"6","May",0.00483,0.00229,3.36e-05,0.00457,0,0.000366
"7","Jun",0.00707,0.00391,6.28e-05,0.00671,0,0.00091
"8","Jul",0.00746,0.00359,7.18e-05,0.0054,0,0.000588
"9","Aug",0.00629,0.00222,5.44e-05,0.00433,0,0.000692
"10","Sep",0.00435,0.000276,3.22e-05,0.00751,0,0.0014
"11","Oct",0.00233,0,1.05e-05,0.00318,0,0.000413
"12","Nov",0.00131,0,4.37e-06,0.00552,0,0.00112
"13","Dec",0.000807,0,1.76e-06,0.0043,0,0.000497
