"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.003,1.14e-05,2.26e-05,0.00415,0,0.000274
"2","Jan",0.000754,0,1.53e-06,0.00407,0,0.000218
"3","Feb",0.000912,0,1.99e-06,0.00379,0,0.000199
"4","Mar",0.00157,2.44e-05,4.71e-06,0.00558,0,0.000309
"5","Apr",0.00262,0.00075,1.11e-05,0.00408,0,0.000244
"6","May",0.00421,0.00198,2.49e-05,0.00475,0,0.000317
"7","Jun",0.00622,0.00341,4.77e-05,0.00462,0,0.000352
"8","Jul",0.00629,0.00313,4.91e-05,0.00495,0,0.000363
"9","Aug",0.00558,0.00201,4.2e-05,0.00426,0,0.00032
"10","Sep",0.00374,0.000229,2.29e-05,0.00442,0,0.000437
"11","Oct",0.00207,0,8.26e-06,0.00213,0,0.000112
"12","Nov",0.00115,0,3.5e-06,0.00384,0,0.000253
"13","Dec",0.000707,0,1.37e-06,0.00329,0,0.000161
