"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00349,2.25e-05,3.18e-05,0.00471,0,0.000517
"2","Jan",0.000853,0,1.9e-06,0.00506,0,0.000434
"3","Feb",0.00106,0,2.59e-06,0.00389,0,0.000299
"4","Mar",0.00178,0,5.94e-06,0.00602,0,0.00053
"5","Apr",0.00294,0.000853,1.36e-05,0.00403,0,0.000357
"6","May",0.00489,0.00229,3.47e-05,0.00416,0,0.000345
"7","Jun",0.00715,0.00385,6.58e-05,0.00532,0,0.000665
"8","Jul",0.00777,0.00393,7.75e-05,0.00538,0,0.000654
"9","Aug",0.00637,0.00226,5.62e-05,0.00413,0,0.000662
"10","Sep",0.00444,0.000322,3.33e-05,0.0065,0,0.000844
"11","Oct",0.00233,0,1.05e-05,0.00325,0,0.000395
"12","Nov",0.00132,0,4.3e-06,0.00458,0,0.000637
"13","Dec",0.00082,0,1.82e-06,0.00413,0,0.000367
