"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00342,1.27e-06,2.86e-05,0.00514,0,0.000503
"2","Jan",0.000958,0,2.34e-06,0.00639,0,0.000581
"3","Feb",0.00115,0,3.08e-06,0.0048,0,0.000315
"4","Mar",0.00191,2.47e-05,6.73e-06,0.00624,0,0.000488
"5","Apr",0.00302,0.00085,1.44e-05,0.00515,0,0.000572
"6","May",0.00483,0.00218,3.21e-05,0.00481,0,0.000348
"7","Jun",0.0063,0.00304,5.1e-05,0.00627,0,0.000787
"8","Jul",0.00727,0.00332,6.59e-05,0.00564,0,0.000562
"9","Aug",0.00642,0.00196,5.72e-05,0.00414,0,0.00049
"10","Sep",0.0043,0.000203,3.01e-05,0.00645,0,0.000879
"11","Oct",0.0024,0,1.09e-05,0.00275,0,0.000225
"12","Nov",0.00144,0,5.09e-06,0.00475,0,0.000466
"13","Dec",0.000897,0,2.12e-06,0.00429,0,0.000312
