"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00322,0,2.53e-05,0.0053,0,0.000587
"2","Jan",0.000902,0,2.09e-06,0.00658,0,0.000709
"3","Feb",0.00108,0,2.73e-06,0.00477,0,0.000319
"4","Mar",0.0018,2.02e-05,6.08e-06,0.00646,0,0.000523
"5","Apr",0.00287,0.000816,1.31e-05,0.00538,0,0.00071
"6","May",0.00457,0.00206,2.88e-05,0.00507,0,0.000435
"7","Jun",0.0059,0.00287,4.47e-05,0.00663,0,0.000892
"8","Jul",0.00681,0.0032,5.78e-05,0.00593,0,0.000747
"9","Aug",0.00607,0.00186,5.07e-05,0.00433,0,0.000577
"10","Sep",0.00405,0.000186,2.68e-05,0.00629,0,0.00095
"11","Oct",0.00228,0,9.78e-06,0.00265,0,0.000205
"12","Nov",0.00136,0,4.54e-06,0.00513,0,0.000628
"13","Dec",0.000851,0,1.93e-06,0.00441,0,0.000343
