"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00328,2.78e-05,2.87e-05,0.00497,0,0.000451
"2","Jan",0.000748,0,1.51e-06,0.00525,0,0.000469
"3","Feb",0.000944,0,2.07e-06,0.00398,0,0.000234
"4","Mar",0.00159,0,4.96e-06,0.00677,0,0.000551
"5","Apr",0.0027,0.000813,1.14e-05,0.00459,0,0.000294
"6","May",0.00467,0.00222,3.16e-05,0.00478,0,0.000301
"7","Jun",0.00673,0.00366,5.8e-05,0.00461,0,0.000481
"8","Jul",0.00752,0.00387,7.22e-05,0.00495,0,0.00048
"9","Aug",0.00601,0.00222,4.96e-05,0.00449,0,0.000458
"10","Sep",0.00423,0.000373,3.03e-05,0.00673,0,0.000754
"11","Oct",0.00217,0,9.23e-06,0.00369,0,0.000385
"12","Nov",0.00118,0,3.49e-06,0.00501,0,0.000514
"13","Dec",0.000746,0,1.5e-06,0.00473,0,0.000471
