"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00316,1.36e-05,2.52e-05,0.00368,0,0.000247
"2","Jan",0.000789,0,1.67e-06,0.00341,0,0.000167
"3","Feb",0.000958,0,2.18e-06,0.00298,0,0.000152
"4","Mar",0.00165,2.23e-05,5.2e-06,0.00495,0,0.000266
"5","Apr",0.00275,0.000802,1.22e-05,0.00339,0,0.000197
"6","May",0.00445,0.0021,2.77e-05,0.00392,0,0.000252
"7","Jun",0.00655,0.00361,5.29e-05,0.00448,0,0.00037
"8","Jul",0.00667,0.00329,5.56e-05,0.0045,0,0.000318
"9","Aug",0.00588,0.00207,4.68e-05,0.00408,0,0.000334
"10","Sep",0.00394,0.000252,2.56e-05,0.00404,0,0.00041
"11","Oct",0.00218,0,9.12e-06,0.00195,0,0.000114
"12","Nov",0.00121,0,3.84e-06,0.0035,0,0.000222
"13","Dec",0.000745,0,1.51e-06,0.00286,0,0.000151
