"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00284,1.17e-05,2.04e-05,0.0046,0,0.000337
"2","Jan",0.000705,0,1.36e-06,0.00449,0,0.00024
"3","Feb",0.000853,0,1.76e-06,0.00464,0,0.00027
"4","Mar",0.00147,2.35e-05,4.25e-06,0.0061,0,0.000335
"5","Apr",0.0025,0.000701,1.02e-05,0.00497,0,0.000348
"6","May",0.00404,0.00191,2.29e-05,0.00527,0,0.000447
"7","Jun",0.00591,0.00318,4.32e-05,0.00466,0,0.000387
"8","Jul",0.00595,0.00303,4.42e-05,0.00557,0,0.000557
"9","Aug",0.00527,0.00192,3.73e-05,0.0048,0,0.000462
"10","Sep",0.00354,0.000216,2.05e-05,0.00426,0,0.000418
"11","Oct",0.00198,0,7.54e-06,0.00238,0,0.00012
"12","Nov",0.00108,0,3.1e-06,0.00418,0,0.000262
"13","Dec",0.000668,0,1.23e-06,0.00384,0,0.000191
