"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00342,3.28e-05,2.87e-05,0.005,0,0.000638
"2","Jan",0.000933,0,2.07e-06,0.00534,0,0.000645
"3","Feb",0.00114,0,2.7e-06,0.00482,0,0.000614
"4","Mar",0.00167,0,5.04e-06,0.00727,0,0.000896
"5","Apr",0.00268,0.000785,1.06e-05,0.00444,0,0.000453
"6","May",0.00441,0.00205,2.72e-05,0.00433,0,0.000369
"7","Jun",0.00656,0.0037,5.3e-05,0.00446,0,0.000496
"8","Jul",0.00768,0.00396,7.35e-05,0.00594,0,0.000874
"9","Aug",0.00608,0.00215,5.01e-05,0.00485,0,0.000862
"10","Sep",0.00473,0.000514,3.56e-05,0.00567,0,0.000735
"11","Oct",0.00256,0,1.2e-05,0.0043,0,0.000874
"12","Nov",0.0015,0,5.13e-06,0.00391,0,0.000361
"13","Dec",0.000947,0,2.2e-06,0.00466,0,0.000447
