"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00318,2.5e-06,2.49e-05,0.00508,0,0.000581
"2","Jan",0.000877,0,2e-06,0.00647,0,0.000812
"3","Feb",0.00105,0,2.58e-06,0.00446,0,0.000315
"4","Mar",0.00175,2.77e-05,5.69e-06,0.00637,0,0.000533
"5","Apr",0.00278,0.000806,1.22e-05,0.00497,0,0.000607
"6","May",0.00442,0.00205,2.71e-05,0.00479,0,0.000414
"7","Jun",0.00624,0.00313,5.02e-05,0.00617,0,0.000833
"8","Jul",0.00666,0.00318,5.57e-05,0.00501,0,0.000643
"9","Aug",0.00591,0.00191,4.81e-05,0.00375,0,0.00038
"10","Sep",0.00398,0.000212,2.59e-05,0.0065,0,0.00103
"11","Oct",0.00221,0,9.29e-06,0.0028,0,0.00029
"12","Nov",0.0013,0,4.27e-06,0.00533,0,0.000715
"13","Dec",0.000806,0,1.75e-06,0.00438,0,0.000385
