"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00286,9.55e-06,2.04e-05,0.0042,0,0.000302
"2","Jan",0.00074,0,1.46e-06,0.00426,0,0.000282
"3","Feb",0.000889,0,1.88e-06,0.00343,0,0.000157
"4","Mar",0.00151,1.95e-05,4.36e-06,0.00544,0,0.000326
"5","Apr",0.00252,0.000711,1.03e-05,0.0038,0,0.000247
"6","May",0.00399,0.00188,2.23e-05,0.00477,0,0.000301
"7","Jun",0.00594,0.00322,4.36e-05,0.00496,0,0.000413
"8","Jul",0.00595,0.00297,4.34e-05,0.0053,0,0.000434
"9","Aug",0.00533,0.00188,3.82e-05,0.00427,0,0.000334
"10","Sep",0.00356,2e-04,2.08e-05,0.00473,0,0.000508
"11","Oct",0.00198,0,7.57e-06,0.00206,0,0.000111
"12","Nov",0.00112,0,3.29e-06,0.004,0,0.000317
"13","Dec",0.000685,0,1.29e-06,0.00331,0,0.000176
