"","date","model1.flow","model2.flow"
"1","1984-01-01",103.7523108,104.145525
"2","1984-01-02",124.1013789,125.52206757
"3","1984-01-03",140.5616808,144.49585581
"4","1984-01-04",165.42024085,176.83248902
"5","1984-01-05",221.20983132,272.02390872
"6","1984-01-06",320.1366032,353.7877415
"7","1984-01-07",374.0536423,423.8008729
"8","1984-01-08",441.9017583,1126.4681511
"9","1984-01-09",1177.6774519,2313.811554
"10","1984-01-10",2104.4141234,2700.591729
"11","1984-01-11",2653.456986,3210.802878
"12","1984-01-12",2340.2254874,2865.91788
"13","1984-01-13",2142.7599944,2538.147653
"14","1984-01-14",2016.2001192,2306.4782329
"15","1984-01-15",1877.6514359,2112.3389817
"16","1984-01-16",1757.6649018,1949.1706926
"17","1984-01-17",1665.0141142,1821.9149171
"18","1984-01-18",1680.4130096,1871.910843
"19","1984-01-19",1919.3153152,1826.6972809
"20","1984-01-20",1711.4940647,1606.7931896
"21","1984-01-21",1566.7343865,1458.0244484
"22","1984-01-22",1456.3589708,1343.534771
"23","1984-01-23",1365.3181686,1256.1170885
"24","1984-01-24",1314.2271041,1381.6120455
"25","1984-01-25",1714.0121002,1622.9355928
"26","1984-01-26",1800.8450699,1604.822136
"27","1984-01-27",1902.4825669,1519.3358383
"28","1984-01-28",2031.8387296,1421.1979636
"29","1984-01-29",2096.4454117,1326.2070236
"30","1984-01-30",2042.5513458,1259.5076294
"31","1984-01-31",2011.8645706,1233.6125945
"32","1984-02-01",1925.8547366,1175.1798247
"33","1984-02-02",1814.9307863,1135.4372747
"34","1984-02-03",1733.1936949,1134.3774069
"35","1984-02-04",1960.2583314,1271.1673316
"36","1984-02-05",2165.5485842,1386.2397764
"37","1984-02-06",2268.347374,1381.4507599
"38","1984-02-07",2218.7566219,1296.6967051
"39","1984-02-08",2021.4137499,1202.9144784
"40","1984-02-09",1840.0916902,1117.0625421
"41","1984-02-10",1698.9171141,1038.353863
"42","1984-02-11",1620.6364439,995.2724648
"43","1984-02-12",1631.8201905,963.2874871
"44","1984-02-13",1563.4292448,1023.4072496
"45","1984-02-14",12667.0157085,4843.3454219
"46","1984-02-15",15387.802673,6393.750521
"47","1984-02-16",13082.783873,4556.639666
"48","1984-02-17",7627.720476,3396.966546
"49","1984-02-18",4623.134828,2568.3634879
"50","1984-02-19",3355.42324,2041.6969451
"51","1984-02-20",2624.0508484,1729.8206404
"52","1984-02-21",2225.3502502,1544.5048329
"53","1984-02-22",1998.2479552,1420.2607729
"54","1984-02-23",2067.0115049,1912.1568724
"55","1984-02-24",8378.923308,3048.038696
"56","1984-02-25",8454.326997,3150.989173
"57","1984-02-26",5302.964614,2742.398773
"58","1984-02-27",3810.532624,2444.101051
"59","1984-02-28",3234.41179,2487.314662
"60","1984-02-29",3147.251068,2392.4548593
"61","1984-03-01",2975.250687,2190.474968
"62","1984-03-02",2678.888696,1992.1831666
"63","1984-03-03",2416.3934708,1830.6960604
"64","1984-03-04",2223.6133271,1698.3010561
"65","1984-03-05",2103.8119811,2166.3721396
"66","1984-03-06",5724.1528117,3423.639518
"67","1984-03-07",7199.004701,3687.135254
"68","1984-03-08",5368.112795,3289.663344
"69","1984-03-09",4205.534529,2927.731621
"70","1984-03-10",3549.805481,2596.948051
"71","1984-03-11",2978.523332,2377.1027003
"72","1984-03-12",2597.512522,2225.1305541
"73","1984-03-13",2505.996728,3815.799149
"74","1984-03-14",15818.13229,7411.607147
"75","1984-03-15",17664.089817,6023.874557
"76","1984-03-16",8391.909026,4473.679871
"77","1984-03-17",4898.085251,3600.399017
"78","1984-03-18",3598.808609,2979.680297
"79","1984-03-19",2883.044843,2593.186109
"80","1984-03-20",2492.3696069,2311.2287525
"81","1984-03-21",2819.6111683,2551.3747639
"82","1984-03-22",3426.366777,2900.6231
"83","1984-03-23",3222.016876,2744.116296
"84","1984-03-24",2838.375205,2450.6522064
"85","1984-03-25",2952.964134,6118.3384778
"86","1984-03-26",22197.903358,12196.052614
"87","1984-03-27",18809.353759,10724.290953
"88","1984-03-28",13127.306274,13558.128813
"89","1984-03-29",28772.964629,24695.438815
"90","1984-03-30",29759.95898,22103.809028
"91","1984-03-31",29203.16504,14380.446413
"92","1984-04-01",16291.988627,9216.134186
"93","1984-04-02",6642.781066,6334.562456
"94","1984-04-03",4722.143464,4837.311553
"95","1984-04-04",4022.077054,4644.913499
"96","1984-04-05",6611.046052,7706.180086
"97","1984-04-06",9270.250825,8540.867858
"98","1984-04-07",7991.851928,7006.27655
"99","1984-04-08",5876.14032,5467.63133
"100","1984-04-09",4562.306962,4547.015819
"101","1984-04-10",3893.366883,4083.749083
"102","1984-04-11",3431.638992,3697.115616
"103","1984-04-12",3137.246077,3397.360096
"104","1984-04-13",2927.382209,3174.362855
"105","1984-04-14",2967.871362,4177.493438
"106","1984-04-15",6369.397138,9526.411562
"107","1984-04-16",9318.32968,9823.751221
"108","1984-04-17",7633.244812,7596.974272
"109","1984-04-18",5500.522918,5650.608994
"110","1984-04-19",4309.957594,4524.771913
"111","1984-04-20",3604.482285,3910.98633
"112","1984-04-21",3127.688355,3460.360917
"113","1984-04-22",2908.43418,4272.966248
"114","1984-04-23",18357.210525,8044.221741
"115","1984-04-24",16078.732727,8790.93286
"116","1984-04-25",9823.708069,7326.965849
"117","1984-04-26",6108.657821,5691.632233
"118","1984-04-27",4368.841461,4664.721221
"119","1984-04-28",3513.790861,4115.091918
"120","1984-04-29",2981.51216,3687.606903
"121","1984-04-30",2675.297927,3365.950347
"122","1984-05-01",2481.591607,3109.516311
