"FIPS_NHL","FIPS","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"H24021","24021","1.48181008768374","3.16509319276148","1.73485820898073","2.59733454552291","2.47712850685576","2.39035894481854","2.29571413883706","2.30185786338117","2.38802057430629","2.34440820751013","3.42753324158228","1.46689617204934","2.33925114035745"
"H24023","24023","1.47853703995904","3.08479869107858","1.75223806792213","2.36195884242508","2.67803649528071","2.55730028162786","2.55071127552206","2.50572051534747","2.67267438582481","2.48945243543926","3.4375462419817","1.18402518392404","2.39608328802773"
"H42013","42013","1.74500517266216","3.47726016540738","1.81321039904704","2.58310531959353","2.72443552837064","2.53552555230106","2.63231878270796","2.52687403366926","2.7014573585882","2.48418133960478","3.40504603398671","1.50735497414507","2.51131455500698"
"H42027","42027","1.89394809180428","3.59073576676561","1.8377108257804","2.67488825647946","2.70409029193629","2.54324981616756","2.59035158190683","2.50208907504334","2.56920804512767","2.42557206235881","3.58327940558209","1.8527326361605","2.56398798792607"
"H42043","42043","1.68738411760758","3.38175675994977","1.75783738449374","2.59455288753969","2.63084138205284","2.47817730852085","2.48502042329399","2.41591218896559","2.47506672581272","2.40123036277281","3.54921090470248","1.81642153582097","2.47278433179442"
"H42079","42079","2.08411340708764","3.6191350193654","1.82509936979437","2.66248889612576","2.73588336672162","2.55608035459854","2.59332955602215","2.5067310669729","2.51838108037215","2.39978220755238","3.62465543758711","1.92200319027739","2.58730691270645"
"H42113","42113","2.12147867669294","3.66122120803141","1.8190210709754","2.66398011726843","2.75928496472734","2.56145998526967","2.59909051653334","2.515216747683","2.54927892446875","2.39660293729576","3.62661071246704","1.92438558362875","2.59980262042015"
"H42115","42115","2.17623947788235","3.72659058135425","1.93702365545489","2.68471259082134","2.70531386257522","2.55556396473039","2.62391165493074","2.51952508800424","2.44361680293272","2.41155450678645","3.63971147304229","2.00607293967152","2.61915304984887"
"H42117","42117","2.09893419075248","3.82345238225458","1.90544140634766","2.73486021389899","2.78733408178191","2.5572709850839","2.60475363024257","2.53219023241767","2.567863199648","2.36814380224824","3.59707368906259","1.96250475255195","2.62831854719088"
"H42119","42119","1.91516334241414","3.59554359844847","1.83069374337949","2.6707148304017","2.71192505575335","2.54178278021203","2.58330084030023","2.49894970676167","2.56147447069087","2.4167106290064","3.5869945937189","1.86479657574972","2.56483751390308"
"H42131","42131","2.13976105090181","3.65460861239137","1.84282566682978","2.67580596658955","2.74514763249355","2.57127170260113","2.61015471057917","2.5217298472767","2.51971431867403","2.40654828822155","3.63629690549442","1.93733038802446","2.60509959083979"
"H51003","51003","1.24818823852083","2.70564935180167","1.64918619765656","2.4295115910775","2.56134673984415","2.40477332440679","2.34058660752131","2.40059550539627","2.5461369456264","2.45424849640371","3.39222061839287","1.09859715169965","2.26925339736231"
"H51009","51009","1.17497869427156","2.60677072433945","1.68938113864791","2.42246677368623","2.57147845435617","2.36395492088674","2.30452232910782","2.35376461857015","2.59613969235199","2.45814530612175","3.33753905132385","1.00990631673705","2.24075400170006"
"H51015","51015","1.21024441674061","2.66422560200408","1.66463982084013","2.42087781529298","2.56980871532379","2.38322352567556","2.32851160304946","2.38286669253247","2.57833112537566","2.45896816409657","3.37137394488362","1.05101342176273","2.25700707063147"
"H51023","51023","1.15846717804619","2.51728929666669","1.73778467999709","2.4186170186019","2.60070575816718","2.37619627618832","2.30215446979954","2.33492623866952","2.62373843383136","2.45022577938298","3.26672089530655","0.982175859791915","2.23075015703743"
"H51045","51045","1.10979430623725","2.4916875977514","1.70778264199378","2.40698735879758","2.69192367544474","2.3770163091924","2.32838003928907","2.38001323421881","2.68540916815241","2.46892169402907","3.19181672636328","0.921836304115912","2.23013075463214"
"H51079","51079","1.30568817519444","2.74123391017407","1.64497234446752","2.43623178974533","2.56184984050383","2.44307289385122","2.3637190871627","2.42122193326309","2.51212690903881","2.44236718043176","3.40601066200983","1.15628804844048","2.28623189785692"
"H51113","51113","1.33993316597253","2.7670472745733","1.6432643630092","2.44172966145772","2.5606472098644","2.46146346435983","2.367289669347","2.41946739496511","2.48939067893611","2.42418059977567","3.4116575972349","1.18502461127837","2.29259130756451"
"H51125","51125","1.19154560305298","2.64870150637319","1.66596040269588","2.42637261799367","2.56132096589319","2.36900826944268","2.31015057932063","2.36797882268056","2.57663541507617","2.45843993621151","3.3629157313224","1.0366350048956","2.24797207124654"
"H51139","51139","1.34903852024259","2.7846238187674","1.65006595917038","2.43759300035578","2.56982045107566","2.46923696103188","2.38172183996718","2.42886817158649","2.49987138256503","2.43084140392657","3.41602185034951","1.19850244453051","2.30135048363075"
"H51157","51157","1.36060571428776","2.82282108796073","1.64949668689374","2.45022162250246","2.55806551380896","2.46290837610166","2.36113424434085","2.40347865842901","2.48079722625132","2.41050547219934","3.41907111553924","1.21597048380665","2.29958968351014"
"H51165","51165","1.29973865717991","2.75369892951389","1.65704500485338","2.40636490522048","2.596393599565","2.44614811192768","2.40076992787536","2.44260322034174","2.57066137924117","2.4594542718457","3.41146064365877","1.12887441558643","2.29776775556746"
"H54023","54023","1.44885301408223","3.03582696507744","1.73761480869134","2.36297665434117","2.67309003927773","2.54088304950027","2.53475114146519","2.5003390512387","2.66714851262756","2.48761907423253","3.438032685556","1.17932308698409","2.38387150692286"
"H54031","54031","1.41110285627674","2.95289076338049","1.70477061427738","2.38761221196666","2.64651606849107","2.52051089410134","2.48900385759844","2.48237105263033","2.61212806790661","2.47509221783335","3.44542611121147","1.23481376425591","2.36351987332748"
