"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00287,5.5e-06,1.98e-05,0.00497,0,0.00042
"2","Jan",0.000825,0,1.73e-06,0.00566,0,0.000584
"3","Feb",0.000972,0,2.16e-06,0.00442,0,0.000249
"4","Mar",0.00158,1.81e-05,4.7e-06,0.0064,0,0.00042
"5","Apr",0.00261,0.000732,1.09e-05,0.00472,0,0.000442
"6","May",0.00402,0.00185,2.22e-05,0.00573,0,0.000451
"7","Jun",0.00563,0.00295,3.98e-05,0.00554,0,0.000515
"8","Jul",0.00586,0.0028,4.2e-05,0.00535,0,0.000427
"9","Aug",0.00529,0.00185,3.77e-05,0.00461,0,0.00044
"10","Sep",0.00356,0.000189,2.05e-05,0.00524,0,0.000583
"11","Oct",0.00204,0,7.88e-06,0.00262,0,0.000168
"12","Nov",0.00117,0,3.49e-06,0.00479,0,0.000406
"13","Dec",0.000757,0,1.54e-06,0.00449,0,0.000337
