"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00382,2.44e-05,3.68e-05,0.00524,0,0.000711
"2","Jan",0.00105,0,2.73e-06,0.00582,0,0.00066
"3","Feb",0.00129,0,3.71e-06,0.00501,0,0.00061
"4","Mar",0.00202,0,7.51e-06,0.00688,0,0.000926
"5","Apr",0.00331,0.000937,1.7e-05,0.00462,0,0.000617
"6","May",0.00519,0.00235,3.86e-05,0.00471,0,0.000487
"7","Jun",0.00772,0.0041,7.63e-05,0.00528,0,0.000843
"8","Jul",0.00837,0.00408,9.05e-05,0.00666,0,0.000898
"9","Aug",0.00668,0.00225,6.22e-05,0.00471,0,0.000752
"10","Sep",0.00492,0.000403,4.03e-05,0.00661,0,0.000857
"11","Oct",0.00265,0,1.32e-05,0.004,0,0.000632
"12","Nov",0.00157,0,5.93e-06,0.00397,0,0.000663
"13","Dec",0.000981,0,2.49e-06,0.00461,0,0.000568
