"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00343,9.09e-06,2.91e-05,0.00467,0,0.000532
"2","Jan",0.000957,0,2.36e-06,0.00516,0,0.00066
"3","Feb",0.00114,0,2.98e-06,0.0039,0,0.00044
"4","Mar",0.00186,3.22e-05,6.43e-06,0.00568,0,0.000521
"5","Apr",0.00302,0.000878,1.44e-05,0.00394,0,0.000412
"6","May",0.00477,0.00224,3.16e-05,0.00475,0,0.000407
"7","Jun",0.00703,0.00377,6.17e-05,0.00586,0,0.00081
"8","Jul",0.00705,0.00345,6.22e-05,0.00526,0,0.000476
"9","Aug",0.00632,0.00207,5.46e-05,0.00426,0,0.000425
"10","Sep",0.00429,0.000237,3.06e-05,0.0063,0,0.00108
"11","Oct",0.00239,0,1.09e-05,0.00266,0,0.000285
"12","Nov",0.00138,0,4.83e-06,0.00438,0,0.000526
"13","Dec",0.000865,0,2e-06,0.00384,0,0.000355
