"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00327,1.78e-05,2.69e-05,0.00563,0,0.000778
"2","Jan",0.000869,0,1.96e-06,0.00627,0,0.000904
"3","Feb",0.00104,0,2.48e-06,0.00439,0,0.000575
"4","Mar",0.00173,1.09e-05,5.57e-06,0.00654,0,0.000652
"5","Apr",0.00283,0.000823,1.27e-05,0.00502,0,0.000536
"6","May",0.0046,0.00216,3e-05,0.00512,0,0.000534
"7","Jun",0.00672,0.00367,5.63e-05,0.00676,0,0.00101
"8","Jul",0.0069,0.00336,6.06e-05,0.00594,0,0.000642
"9","Aug",0.00598,0.00211,4.85e-05,0.00478,0,0.000775
"10","Sep",0.00413,0.000251,2.86e-05,0.00815,0,0.00159
"11","Oct",0.00226,0,9.83e-06,0.00349,0,0.000483
"12","Nov",0.00127,0,4.14e-06,0.00608,0,0.00107
"13","Dec",0.000803,0,1.71e-06,0.00497,0,0.000577
