"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00392,2.52e-05,3.82e-05,0.00545,0,0.000719
"2","Jan",0.00111,0,3.08e-06,0.00623,0,0.000723
"3","Feb",0.00136,0,4.17e-06,0.00438,0,0.000401
"4","Mar",0.00212,0,8.23e-06,0.0069,0,0.000827
"5","Apr",0.00342,0.000967,1.81e-05,0.00472,0,0.000564
"6","May",0.00529,0.00231,4.04e-05,0.00494,0,0.000578
"7","Jun",0.00792,0.00415,8.04e-05,0.00497,0,0.000496
"8","Jul",0.00846,0.0041,9.23e-05,0.00731,0,0.00125
"9","Aug",0.00676,0.00219,6.42e-05,0.00567,0,0.000664
"10","Sep",0.00505,0.000405,4.22e-05,0.00726,0,0.00122
"11","Oct",0.00272,0,1.39e-05,0.00459,0,0.000746
"12","Nov",0.00165,0,6.54e-06,0.004,0,0.000613
"13","Dec",0.00102,0,2.67e-06,0.00432,0,5e-04
